,Time,BDEP,Validity_1,Frequency_1,Consistency_1,Uniqueness_1,Accuracy_1,BHT,Validity_2,Frequency_2,Consistency_2,Uniqueness_2,Accuracy_2,CTOR,Validity_3,Frequency_3,Consistency_3,Uniqueness_3,DEPT,Validity_4,Frequency_4,Consistency_4,Uniqueness_4,RPM,Validity_5,Frequency_5,Consistency_5,Uniqueness_5,Completeness
100,2023-04-15T12:01:40.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.377,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
101,2023-04-15T12:01:41.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.451,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
102,2023-04-15T12:01:42.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.309,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,False,True
103,2023-04-15T12:01:43.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.431,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,False,True
104,2023-04-15T12:01:44.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.22,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
105,2023-04-15T12:01:45.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.56,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
106,2023-04-15T12:01:46.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.377,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
107,2023-04-15T12:01:47.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.268,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
108,2023-04-15T12:01:48.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.513,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
109,2023-04-15T12:01:49.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.329,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
110,2023-04-15T12:01:50.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.2,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
111,2023-04-15T12:01:51.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.309,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
112,2023-04-15T12:01:52.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.281,True,True,True,True,8121.13,True,True,True,False,25.13,True,True,True,True,True
113,2023-04-15T12:01:53.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.098,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
114,2023-04-15T12:01:54.0000000-05:00,8117.72,True,True,True,True,False,21.78,True,True,True,True,False,6.39,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
115,2023-04-15T12:01:55.0000000-05:00,8117.72,True,True,True,False,True,21.78,True,True,True,False,True,6.241,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
116,2023-04-15T12:01:56.0000000-05:00,8117.72,True,True,True,False,True,21.78,True,True,True,False,True,6.309,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
117,2023-04-15T12:01:57.0000000-05:00,8117.68,True,True,True,True,False,21.81,True,True,True,True,False,6.485,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
118,2023-04-15T12:01:58.0000000-05:00,8117.55,True,True,True,True,False,21.94,True,True,True,True,False,6.485,True,True,True,False,8121.13,True,True,True,False,25.05,True,True,True,False,True
119,2023-04-15T12:01:59.0000000-05:00,8117.36,True,True,True,True,False,22.13,True,True,True,True,False,6.424,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
120,2023-04-15T12:02:00.0000000-05:00,8117.19,True,True,True,True,False,22.29,True,True,True,True,False,6.105,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
121,2023-04-15T12:02:01.0000000-05:00,8117.03,True,True,True,True,False,22.46,True,True,True,True,False,6.241,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
122,2023-04-15T12:02:02.0000000-05:00,8116.86,True,True,True,True,False,22.62,True,True,True,True,False,6.275,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
123,2023-04-15T12:02:03.0000000-05:00,8116.7,True,True,True,True,False,22.78,True,True,True,True,False,6.077,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
124,2023-04-15T12:02:04.0000000-05:00,8116.54,True,True,True,True,False,22.97,True,True,True,True,False,6.363,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
125,2023-04-15T12:02:05.0000000-05:00,8116.37,True,True,True,True,False,23.11,True,True,True,True,False,6.139,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
126,2023-04-15T12:02:06.0000000-05:00,8116.21,True,True,True,True,False,23.29,True,True,True,True,False,6.363,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
127,2023-04-15T12:02:07.0000000-05:00,8116.08,True,True,True,True,False,23.43,True,True,True,True,False,6.404,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
128,2023-04-15T12:02:08.0000000-05:00,8115.95,True,True,True,True,False,23.54,True,True,True,True,False,6.669,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,False,True
129,2023-04-15T12:02:09.0000000-05:00,8115.85,True,True,True,True,False,23.65,True,True,True,True,False,6.343,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
130,2023-04-15T12:02:10.0000000-05:00,8115.75,True,True,True,True,False,23.75,True,True,True,True,False,6.642,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
131,2023-04-15T12:02:11.0000000-05:00,8115.62,True,True,True,True,False,23.86,True,True,True,True,False,6.485,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,False,True
132,2023-04-15T12:02:12.0000000-05:00,8115.52,True,True,True,True,False,23.97,True,True,True,True,False,6.485,True,True,True,False,8121.13,True,True,True,False,25.07,True,True,True,True,True
